name,date
Ambs Thomas-Greenfield and O'Brien on Black Sea Grain Initiative,5/11/2023
"City Spotlight: Grand Forks, ND ",5/11/2023
"City Spotlight: Detroit, MI",5/12/2023
Migration and Border Issues 2023,5/15/2023
DRL Roundtable with Desiree Comier Smith,6/2/2023
Secretary of the Army,6/6/2023
DRL Roundtable with Minkara,6/7/2023
US-ROK Relations,6/12/2023
NSC John Kirby:  India State Visit,6/20/2023
OAS GA Preview,6/20/2023
CHIPS Act Funding for Semiconductor Supply Chains ,6/23/2023
El Niño and Its Influence on Global Food Insecurity,7/13/2023
APEC Briefing w/ Washington State Governor and Seattle Mayor,7/19/2023
OSCE Amb Carpenter,7/25/2023
LTG On Food Security and UN Presidency,7/31/2023
Forced Naturalization of Ukrainian Citizens in Russia-Occupied Areas of Ukraine,8/4/2023
NSC Kirby: U.S.-Japan-Republic of Korea Trilateral,8/16/2023
Ambassador at Large for Global Criminal Justice Van Schaack,8/29/2023
Preview of President Biden’s visit to New Delhi for the G20 Leaders’ Summit and Vice President Harris’ visit to Jakarta for the U.S.-ASEAN and East Asia Summits,9/6/2023
UNGA John Kirby NSC,9/18/2023
UNGA Ambassador Lapenn on Atlantic Ministerial,9/19/2023
UNGA INL A/S Robinson,9/19/2023
UNGA USAID Isobel Coleman,9/19/2023
"UNGA E, OES, and EB Briefing",9/20/2023
"UNGA AF A/S Molly Phee, SEHOA AMB Mike Hammer, NSC Judd Devermont",9/21/2023
UNGA Ambassador at Large for Global Criminal Justice Van Schaack,9/21/2023
UNGA EAP Kritenbrink on PBP Ministerial,9/22/2023
UNGA S Avail,9/22/2023
UNGA WHA A/S Brian Nichols,9/22/2023
Global Music Diplomacy w/ U/S Allen and CEO Harvey Mason,9/28/2023
Update from the CHIPS Program Office on Funding Opportunities,9/29/2023
"Anti-Corruption Roundtable, Richard Nephew",10/20/2023
NSC Kirby Middle East Briefing,10/23/2023
Preview of Australian State Visit,10/24/2023
City Spotlight: NYC Tourism,10/25/2023
2023 Preview of APEC Leaders' Week,11/6/2023
Road to COP 28: The Role of the Ocean in Combatting Climate Change,11/15/2023
Review of the Current U.S. Global Energy Policy Priorities with ENR,11/16/2023
 U.S. Government Response to Migration in the Americas,11/17/2023
2023 Update on U.S. Visa Processing Worldwide ,11/28/2023
Deputy Energy Secretary Pre COP Briefing,11/30/2023
Off-the-record meeting with Turkish reporters visiting NYC on IVLP,12/4/2023
Update on Hostage Situation and Humanitarian Aid in Gaza - John Kirby,12/6/2023
NEA Roundtable - PDAS Henry T. Wooster,12/8/2023
Commerce EDA  A/S Castillo on Tech Hubs,12/11/2023
NYFPC Hybrid Briefing – American Institutions Series:  Overview of U.S. Court Systems.,12/13/2023
Transnational Repression Against Exiled Journalists: Freedom House,12/13/2023
"City Spotlight: Tourism and Community Development in Santa Claus, Indiana",12/20/2023
U.S. Migration Policy Overview,1/11/2024
Iran Policy 2024,1/17/2024
Artificial Intelligence and Journalism,1/18/2024
EUR DAS Huck Roundtable,2/6/2024
Wall Street: The Conference Board,2/7/2024
Indo Pacific Strategy - 2 Years Later,2/14/2024
U.S. Fentanyl Crisis with Brookings,2/15/2024
Information Session for Media Planning to Cover the 2024 Conventions,2/16/2024
2024 Election Virtual Briefing Series,2/20/2024
Election Briefing Series: How Candidates Are Selected ,2/20/2024
EUR PDAS Kim on Two Year Mark of Russia's War in Ukraine,2/22/2024
Training Event,2/22/2024
Wall Street: Schack Institute of Real Estate at NYU,2/22/2024
Wall Street: Moody's Analytics,2/28/2024
   Russian Attacks Targeting Ukraine’s Energy Infrastructure ,3/4/2024
25th ANNIVERSARY OF THE WASHINGTON PRINCIPLES ON NAZI-CONFISCATED ART: BEST PRACTICES & THE WAY FORWARD,3/5/2024
U.S. Priorities to Combat Climate Change with SPEC Kerry,3/5/2024
Preview of U.S. Participation in the Third Summit for Democracy,3/13/2024
U.S. Global Funding Priorities,3/13/2024
Negotiating A Global Agreement on Plastic Pollution,3/19/2024
Campaign Finance in U.S. Elections VBS Election,3/26/2024
Bringing Missing Heroes Home - A Briefing With The Defense POW/MIA Accounting Agency,3/27/2024
ENR Energy Policy AS Pyatt,3/27/2024
U/S Jenkins (T) TWEIS Rollout ,4/4/2024
NSC Senior Director Mira Rapp-Hooper: Japan State Visit April 2024 ,4/9/2024
EUR Happy Hour,4/11/2024
Olympic Media Event,4/13/2024
Women in Politics,4/16/2024
An International Response to Combatting Synthetic Drugs with A/S Todd Robinson,4/17/2024
Penny Pritzker,4/17/2024
A/S Stewart on Western Hemisphere Nuclear Risk Reduction,4/24/2024
Election Briefing Series: 3rd Parties and the Role They Play in U.S. Elections,4/25/2024
Interagency Migration Policy Overview,4/25/2024
Haiti Roundtable with A/S Brian Nichols,4/26/2024
Celebrating World Trade Month and Advancing the Biden-Harris Administration’s Trade Agenda,5/9/2024
FEC Commissioner Broussard on Campaign Finance,5/9/2024
The Space Force’s Critical Role in National Security,5/9/2024
NATO Briefing Series: Hudson,5/17/2024
NSC Kenya Visit,5/21/2024
International Cyberspace and Digital Policy ,5/22/2024
Election Briefing Series:  Voter Registration Efforts,5/30/2024
S/GWI Ambassador-at-Large Dr. Geeta Rao Gupta,5/30/2024
Farmlat - U.S.-ROK-Japan Trilateral,5/31/2024
John Kirby Preview of President Biden's Travel To France,6/3/2024
Danish Press Roundtable,6/4/2024
NATO in the U.S. Heartland ,6/5/2024
Targeting Human Smuggling and Trafficking in the Northern Triangle and Mexico,6/5/2024
NATO’s Eastern Front,6/6/2024
U.S.-ROK-Japan Backgrounder,6/10/2024
NEA Briefing - Israel/Hamas,6/12/2024
NEA Roundtable on Israel- Hamas,6/12/2024
Department of Labor Migrant Worker Rights,6/17/2024
PRC-Russia Off-the-Record,6/18/2024
NATO’s Cyber Challenge with CNAS,6/20/2024
Preview of OAS General Assembly with Amb. Frank Mora,6/20/2024
SelectUSA Investment Summit,6/20/2024
DCFPC Hybrid briefing with EUR A/S O’Brien,6/24/2024
2024 TIP Report with Ambassador-at-Large Cindy Dyer,6/25/2024
NATO's North,6/25/2024
NATO’s Collective Burden Sharing ,6/26/2024
Washington Foreign Press Center Reception,6/26/2024
Elections Judicial Elections,6/27/2024
UN Cybercrimes Treaty Negotiations with Amb. Deborah McCarthy,6/27/2024
NSC NATO Briefing - Amb. Carpenter,7/8/2024
RNC  - Milwaukee,7/15/2024
RNC Convention 2024 Check In,7/15/2024
RNC Convention Attendees,7/15/2024
Americas Partnership Ministerial with E,7/17/2024
ENR AS Pyatt on Brazil,7/22/2024
Quad Ministerial Meeting - EAP/SCA ,7/23/2024
"July 31, 11AM, NYFPC on-the-record briefing with the Sudanese American Physicians Association (SAPA):",7/31/2024
The Global State of Child and Forced Labor,9/5/2024
Election Briefing Series:  Election Security ,9/6/2024
Global China ,9/18/2024
Reforming the UN Security Council with Ambassador Linda Thomas-Greenfield,9/18/2024
Quad Summit Preview ,9/19/2024
"UNGA - Atlantic Partnership, Amb. Lapenn",9/23/2024
UNGA 2024 - AF Horn of Africa - SEHOA Mike Hammer,9/23/2024
UNGA HLW 79,9/23/2024
UNGA79 - Commercial Spyware and Freedom Online (DRL/NSC),9/23/2024
UNGA 2024 - Sudan,9/24/2024
UNGA Indo Pac Update: Deputy Secretary Roundtable,9/24/2024
UNGA79 - John Kirby,9/24/2024
UNGA 2024 - Priorities in South Central Asia,9/25/2024
UNGA 79: GCJ Van Schaack,9/25/2024
UNGA79 - USAID Gawande on Toxic Lead and Health Priorities,9/25/2024
UNGA79 CDP Ambassador Fick,9/25/2024
UNGA79 E Family,9/25/2024
UNGA 2024 - USAID Coleman,9/26/2024
UNGA Stopping the Destabilizing Flow of Sensitive Technology ,9/26/2024
UNGA: Russia's Covert Actions,9/26/2024
UNGA79 - SPOX,9/26/2024
UNGA79 AF A/S Molly Phee briefing,9/26/2024
UNGA79: Lobito Corridor – Trans Africa Connectivity deliverables,9/26/2024
UNGA 2024 - Yemen,9/27/2024
UNGA 79: Nichols WHA Priorities,9/27/2024
UNGA79 C Tom Sullivan ,9/27/2024
UNGA79 EAP Background Briefing,9/27/2024
Election Briefing Series:  Redistricting and Gerrymandering,10/1/2024
Foreign Press Center + Media Hub of the Americas Reception,10/2/2024
Elections Briefing Series: USC on Election Security,10/3/2024
Intelligence Community Assessment at 30 days before Election,10/7/2024
DCFPC - NSC Trip Preview,10/8/2024
Securing Election Mail with the United States Postal Service,10/23/2024
DCFPC Virtual Briefing on Foreign Policy at the Local Level: City and State Governments Confronting Global Issues ,10/25/2024
John Zogby on Election Polls,10/30/2024
2024 APEC Readout: Matt Murray ,11/21/2024
Tourism Outlook and Seasonal Look Ahead ,11/22/2024
Amb. Thomas-Greenfield on US Priorities During Presidency of UN Security Council ,11/25/2024
Updated - Amb. Thomas-Greenfield on US Priorities During Presidency of UN Security Council ,12/3/2024
"Highlighting Investments in Infrastructure, Transportation, and International Partnerships",12/13/2024
Assistant Secretary of State Brian Nichols,12/16/2024
DCFPC In-Person On-the-Record Briefing on News of the Day with SPOX,12/17/2024
DCFPC Hybrid Briefing with AF A/S Phee,12/18/2024
Ned Price Previewing Secretary Blinken's Meetings at the UN ,12/18/2024
D Indo-Pac Roundtable,12/19/2024
John Kirby at the Washington Foreign Press Center - 1/14/25,1/14/2025
Strategic Deterrence and the U.S. Air Force Bomber Force ,2/19/2025
